,South Africa,Lesotho,Zimbabwe,Botswana,Namibia,Zambia,Malawi,Mozambique,eSwatini,Angola,Dem. Rep. Congo,Tanzania
2013-01-01 00:00:00,0.15488135039273246,0.1417022004702574,0.14359949021420035,0.15507979025745752,0.19670298390136765,0.12219931710897393,0.18928601514360016,0.1076308289373957,0.1873429402791816,0.10103741538856997,0.17713206432667458,0.1180269688876769
2013-01-01 01:00:00,0.17151903952921643,0.1720325522361903,0.10259272607476361,0.17081488515378496,0.1547233278095467,0.18707333350971211,0.1331980834220922,0.17799198211598594,0.19685416917406767,0.15018756210684836,0.10207529782791462,0.10194762704073693
2013-01-01 02:00:00,0.1602767491750094,0.1000118490495795,0.1549666593557159,0.12909088545913944,0.19726884756433344,0.12067232710178764,0.18212332387362817,0.14384133471193436,0.186919865589237,0.1495777408812596,0.16336523506047257,0.14632226421767947
2013-01-01 03:00:00,0.15448924432714256,0.13023418329063685,0.14353316528928056,0.15108368654721915,0.17148252539488934,0.19186201682124504,0.10417058859997785,0.172347443810547,0.15308649518301276,0.11338387892338052,0.17488131428131404,0.17249431894666767
2013-01-01 04:00:00,0.1423671262044238,0.11467723535224462,0.14203842647928222,0.1892963417052988,0.1697745287302604,0.14884276515001624,0.11076731426413011,0.19780059747019357,0.12327447906826239,0.11421275481598717,0.14985234750079235,0.14202200672930607
2013-01-01 05:00:00,0.1645919836033814,0.10923643177359556,0.1330360543971032,0.18963188119005958,0.12161152185475341,0.16117695858698033,0.1595077787173398,0.15385215933775914,0.10114245272445876,0.1218584398593236,0.12248223684980054,0.14854528211349402
2013-01-01 06:00:00,0.1437624252317932,0.11862972524329105,0.1204685675093082,0.11256223515190758,0.19763114958314815,0.17659448975355552,0.1529854403248061,0.15011575047151773,0.143050585934773,0.14185452215656918,0.11980999058148635,0.10128178556458481
2013-01-01 07:00:00,0.1891823417745834,0.1345611144006802,0.1619321383314418,0.12072932951019409,0.1006280672168344,0.15184684048366975,0.14188578455204084,0.10721015503235157,0.1402401777001119,0.12481515853773133,0.1760581129162713,0.14874220242836259
2013-01-01 08:00:00,0.19637286111868518,0.13968333249164921,0.12997205243603455,0.10515330539866521,0.12530482130692663,0.12968663522620444,0.13354736999591516,0.12685048307876934,0.1522740522038392,0.10841255018511724,0.11691766872483578,0.19418725030291883
2013-01-01 09:00:00,0.13835248610392803,0.15389000762168595,0.1266910617316369,0.14408931858641388,0.14348748746179482,0.11878045708747541,0.16226027744095928,0.14999658430390625,0.1478475138015905,0.13455819822639026,0.10884231563875127,0.18508784315902813
2013-01-01 10:00:00,0.1791827929620461,0.14192974059410912,0.16212367243070913,0.10299791024163632,0.1779485813331549,0.10808441603026711,0.14382443176466703,0.16793328876587368,0.15554593653601267,0.11668792380701178,0.16854627099055935,0.1730067361758615
2013-01-01 11:00:00,0.15290194184015513,0.16853439990454064,0.1529266592925686,0.14569577230433578,0.11978095732489,0.17385647948476168,0.17360066049973372,0.18038635347530224,0.15435105161911872,0.1878683584181306,0.19535178448435836,0.11088605705176217
2013-01-01 12:00:00,0.15681927246288696,0.12046004132664548,0.1134728108879871,0.16492922111496983,0.18631413991341597,0.14414573864308905,0.1518184575534206,0.1381089296683476,0.17610437391378664,0.1951112195161654,0.10040964298628519,0.18940523338200188
2013-01-01 13:00:00,0.19257705244771556,0.187829132257544,0.15137520074502409,0.12786611688324698,0.19835745633598073,0.11584837538971457,0.15790324864106514,0.10661102330903996,0.17125484602665858,0.10389222620168143,0.15123661495702712,0.1857328133257324
2013-01-01 14:00:00,0.10712377247819704,0.10275892597820097,0.11846415322309987,0.16764565685642147,0.11640439079887822,0.18801386977853624,0.16455567624796774,0.1288347265892077,0.16198837626875232,0.16993090579828446,0.1812822628236197,0.11652882841793107
2013-01-01 15:00:00,0.1087360804420954,0.16706990148978157,0.1785566652536087,0.1591094322135764,0.15975654486522725,0.12743179667116378,0.199045577609283,0.1909825032439027,0.14263232751956054,0.15729913202888224,0.16127575715488013,0.16325655185429094
2013-01-01 16:00:00,0.10204817980154589,0.141756820294226,0.1854238693214622,0.10242452829522986,0.10092494982426882,0.14144984196561844,0.18201215974969748,0.12136487541550486,0.12893384285932208,0.1898270518800283,0.1722018718006933,0.10207470133663658
2013-01-01 17:00:00,0.18329171996827723,0.1558987182580586,0.1494534191516762,0.15591514421257163,0.13868686367784636,0.12963772868684822,0.1413498288951015,0.14524213159525173,0.19741525953352806,0.1667196327054471,0.12921734223054673,0.11170346229148505
2013-01-01 18:00:00,0.17784901163308986,0.11407203039762819,0.18468948507385163,0.12595858122885134,0.10444934233125477,0.16291212742605315,0.18766010205876754,0.193153938507007,0.13341074108917184,0.15481711484275296,0.19181074878939916,0.13167006769935885
2013-01-01 19:00:00,0.18703835825420684,0.11984729233801279,0.10800169113043101,0.14154726313053187,0.1957024402009485,0.15802092444847943,0.18241308668657705,0.10252706618455971,0.1219172495115077,0.17027988583633044,0.17149472176929398,0.1158283740970186
2013-01-01 20:00:00,0.19790299030906164,0.1801156129533389,0.15056576509795563,0.1283936642629171,0.143655820773765,0.160034075748284,0.1054886068680207,0.1600960478321975,0.10662199486450638,0.13868887304725178,0.15429559288691136,0.17593911490183578
